,precision,recall,f1-score,support
bathroom,0.6956521739130435,0.8888888888888888,0.7804878048780488,18.0
bedroom,0.7619047619047619,0.8,0.7804878048780488,20.0
diningroom,0.8125,0.7222222222222222,0.7647058823529411,18.0
kitchen,0.85,0.8095238095238095,0.8292682926829268,21.0
livingroom,0.8125,0.6842105263157895,0.7428571428571429,19.0
accuracy,0.78125,0.78125,0.78125,0.78125
macro avg,0.7865113871635611,0.780969089390142,0.7795613855298217,96.0
weighted avg,0.788253483005521,0.78125,0.7807516909202704,96.0
