,precision,recall,f1-score,support
bathroom,0.64,0.8888888888888888,0.7441860465116279,18.0
bedroom,0.75,0.6,0.6666666666666666,20.0
diningroom,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
kitchen,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
livingroom,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
accuracy,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334
macro avg,0.7796541353383459,0.7705430242272348,0.768067102216429,96.0
weighted avg,0.7825000000000001,0.7708333333333334,0.7699010453370918,96.0
